difficulty_rank,fault,n_models,mean_f1_score,median_f1_score,std_f1_score,min_f1_score,max_f1_score,range_f1_score,cv_f1_score,best_model,best_score,worst_model,worst_score
10,14,6,0.57845,0.8088,0.3649934232284193,0.0301,0.8146,0.7845,0.6309852592763753,HistGradientBoosting,0.8146,Logistic Regression,0.0301
8,19,6,0.4959166666666666,0.6552,0.3350121336111077,0.0693,0.7705,0.7011999999999999,0.6755411869153576,Extra Trees,0.7705,Linear SVM,0.0693
5,10,6,0.46656666666666663,0.63405,0.31856487983873344,0.0429,0.7078,0.6648999999999999,0.6827853393700082,Random Forest,0.7078,Linear SVM,0.0429
7,11,6,0.4723833333333334,0.64735,0.3066988321899297,0.0405,0.7051,0.6646,0.6492583682530354,HistGradientBoosting,0.7051,Linear SVM,0.0405
9,12,6,0.5406333333333333,0.6913,0.2959248936244916,0.0796,0.7636,0.6839999999999999,0.54736708852178,Random Forest,0.7636,Linear SVM,0.0796
6,16,6,0.46773333333333333,0.6168,0.2745543492036989,0.0861,0.6853,0.5992000000000001,0.5869890590158899,HistGradientBoosting,0.6853,Logistic Regression,0.0861
12,8,6,0.6402,0.718,0.17331778904659498,0.4197,0.7817,0.36199999999999993,0.2707244439965557,Random Forest,0.7817,Linear SVM,0.4197
11,13,6,0.6324333333333333,0.6999,0.1400313917186667,0.4382,0.7419,0.3037,0.22141684243714757,Random Forest,0.7419,Linear SVM,0.4382
4,3,6,0.21056666666666665,0.19345,0.11907793526370311,0.0674,0.403,0.3356,0.5655118027403979,HistGradientBoosting,0.403,Logistic Regression,0.0674
2,15,6,0.17403333333333335,0.1961,0.08250880357068975,0.0678,0.2638,0.19599999999999998,0.47409770295358983,Extra Trees,0.2638,Logistic Regression,0.0678
